Company|Slogan
General Mills| Nourishing Lives.
Exelon Corp.| Sustainable Advantage
Dollar Tree| Everything’s $1
Delta Air Lines| Keep Climbing.
D. R. Horton| America’s Builder
Cognizant Technology Solutions| Keep Challenging
Chubb Limited| Chubb. Insured.
CenturyLink Inc| Stronger Connected
CenterPoint Energy| Always there.
CBS Corp.| Only CBS
Boston Properties| Experienced leadership.
AvalonBay Communities, Inc.| Appreciating value
Applied Materials Inc| Apply it.
Apple Inc.| Think Different.
Amphenol Corp A| Connecting tomorrow.
Ameriprise Financial| Be Brilliant
ADT Corp| Always There.
Danaher Corp.| Invent.
